id,place,magnitude,time,latitude,longitude,depth
pr71443293,"2 km WNW of Santo Domingo, Puerto Rico",1.85,2024-03-18 19:13:16.870,18.0758333333333,-66.7738333333333,7.99
uw61990316,"3 km WSW of Kalama, Washington",1.27,2024-03-18 19:12:20.520,45.99633333333333,-122.88516666666666,-0.42
uw61990311,"4 km SW of Farmington, Washington",1.9100000000000001,2024-03-18 18:59:08.870,47.056666666666665,-117.079,-0.77
ak0243lazbzc,"4 km WSW of Healy, Alaska",1.4,2024-03-18 18:58:13.523,63.8358,-149.0517,6.7
ci40689328,"7 km S of Mojave, CA",1.2,2024-03-18 18:52:51.200,34.9893333,-118.1801667,-0.84
tx2024fmcz,"33 km NW of Toyah, Texas",1.8,2024-03-18 18:49:33.262,31.557,-104.011,6.405
ak0243lawzgx,"20 km NNW of Chickaloon, Alaska",1.8,2024-03-18 18:47:18.258,61.9756,-148.5635,38.6
ci40689312,"6 km NNW of Lakeside, CA",1.48,2024-03-18 18:40:20.750,32.9121667,-116.9433333,-0.18
ak0243lauvzv,"50 km WNW of Anchor Point, Alaska",2.1,2024-03-18 18:37:40.112,59.92,-152.688,97.4
nc74019491,"7 km WNW of Cobb, CA",0.73,2024-03-18 18:37:10.690,38.8359985,-122.7985001,2.49
nc74019486,"6 km ESE of Santa Venetia, CA",0.5,2024-03-18 18:32:51.050,37.9775,-122.4606667,-0.03
ak0243lat6il,"5 km S of Salcha, Alaska",1.6,2024-03-18 18:29:43.331,64.4759,-146.8958,6.1
us6000mjmr,"17 km ESE of Kastrí, Greece",4.0,2024-03-18 18:26:15.456,34.7978,24.2684,42.968
nc74019476,"8 km NW of The Geysers, CA",0.77,2024-03-18 18:05:38.840,38.8325005,-122.8150024,1.73
nc74019471,"10 km WNW of The Geysers, CA",0.77,2024-03-18 18:01:03.880,38.8248329,-122.8536682,2.28
ci40689232,"10 km SW of Valencia, CA",1.88,2024-03-18 17:59:23.150,34.3771667,-118.6365,11.38
nc74019466,"6 km WNW of Cobb, CA",1.26,2024-03-18 17:56:14.780,38.8349991,-122.7900009,1.82
ak0243labtm0,"48 km NW of Valdez, Alaska",1.6,2024-03-18 17:48:44.562,61.3837,-147.0837,14.5
ci37633892,"10 km S of Idyllwild, CA",0.62,2024-03-18 17:46:32.080,33.6491667,-116.7185,13.99
us6000mjm8,"123 km SSE of Kuril’sk, Russia",4.7,2024-03-18 17:46:31.409,44.1725,148.3612,50.528
ci37633900,"10 km S of Idyllwild, CA",0.62,2024-03-18 17:46:28.910,33.6516667,-116.7375,14.69
ci40689208,"10 km S of Idyllwild, CA",0.39,2024-03-18 17:46:26.850,33.6506667,-116.711,15.1
us6000mjlf,"107 km NNW of Piti Village, Guam",4.6,2024-03-18 17:37:19.117,14.2985,144.191,12.575
ak0243la8t6r,"16 km NNW of Two Rivers, Alaska",1.0,2024-03-18 17:34:39.392,65.0059,-147.2086,0.0
nc74019451,"8 km NW of The Geysers, CA",0.44,2024-03-18 17:34:18.690,38.8349991,-122.8201675,2.58
nc74019446,"26 km ENE of Alum Rock, CA",0.88,2024-03-18 17:29:59.670,37.4608333,-121.5606667,8.72
tx2024flzv,"59 km S of Whites City, New Mexico",1.9,2024-03-18 17:13:39.177,31.645,-104.319,4.6314
ak0243la3p5j,"66 km ESE of Halibut Cove, Alaska",2.6,2024-03-18 17:10:54.550,59.3805,-150.1391,45.1
ci37633884,"16 km SSW of Searles Valley, CA",0.12,2024-03-18 17:10:01.110,35.643,-117.4908333,9.79
ci40689144,"16 km SSW of Searles Valley, CA",0.36,2024-03-18 17:09:55.500,35.6305,-117.4675,7.94
nc74019431,"6 km NW of The Geysers, CA",1.08,2024-03-18 17:06:44.000,38.8144989,-122.7983322,1.86
ci40689120,"15 km SSW of Olancha, CA",1.24,2024-03-18 17:06:18.780,36.1511667,-118.0613333,3.61
nc74019416,"7 km WNW of Cobb, CA",0.44,2024-03-18 16:47:28.760,38.8370018,-122.7986679,2.06
ak0243l9oghi,"29 km S of Livengood, Alaska",1.1,2024-03-18 16:39:43.583,65.2595,-148.5449,9.2
nc74019406,"1 km E of The Geysers, CA",0.89,2024-03-18 16:14:37.760,38.7783318,-122.7416687,0.52
uw61990261,"16 km W of Tsawwassen, Canada",1.3900000000000001,2024-03-18 16:14:30.320,48.989333333333335,-123.29866666666666,52.43
us6000mjl9,"13 km ESE of Kaseda-shirakame, Japan",4.4,2024-03-18 16:12:34.465,31.3595,130.4424,131.087
nc74019396,"2 km ENE of The Geysers, CA",1.08,2024-03-18 15:43:24.210,38.7828331,-122.7389984,-0.83
nc74019391,"8 km WNW of Cobb, CA",0.39,2024-03-18 15:41:35.340,38.8441658,-122.8164978,1.97
mb90043338,"3 km SSE of Lincoln, Montana",2.11,2024-03-18 15:36:17.720,46.931,-112.659166666667,8.82
ci40689040,"6 km NE of Anza, CA",0.51,2024-03-18 15:32:01.150,33.595,-116.6393333,12.41
ak0243l918r0,"24 km WSW of Karluk, Alaska",2.0,2024-03-18 15:31:12.440,57.476,-154.8257,75.5
nc74019381,"8 km NW of The Geysers, CA",0.26,2024-03-18 15:26:49.230,38.831501,-122.8176651,1.64
nc74019376,"8 km NW of The Geysers, CA",0.31,2024-03-18 15:09:35.250,38.8251648,-122.8303299,1.86
ci40689024,"16 km SSW of Searles Valley, CA",0.24,2024-03-18 15:01:22.840,35.6483333,-117.4928333,9.75
pr71443258,"5 km SE of Maria Antonia, Puerto Rico",2.29,2024-03-18 14:51:06.800,17.9406666666667,-66.8503333333333,11.78
ci40688984,"16 km ENE of Thousand Palms, CA",1.13,2024-03-18 14:46:04.790,33.8928333,-116.2445,5.16
uu80062951,"15 km NE of Milford, Utah",-0.58,2024-03-18 14:39:03.390,38.4941666666667,-112.889166666667,1.7
hv74140527,"9 km NE of Pāhala, Hawaii",1.86000001,2024-03-18 14:31:37.630,19.2671661376953,-155.414993286133,33.8400001525879
uw61990251,"3 km NNW of North Sultan, Washington",0.48,2024-03-18 14:26:47.900,47.91266666666667,-121.8195,4.16
ci40688928,"13 km N of Warner Springs, CA",0.57,2024-03-18 14:26:02.040,33.4013333,-116.6376667,6.54
uw61990241,"8 km NNE of Ashford, Washington",0.23,2024-03-18 13:43:07.940,46.829166666666666,-122.00683333333333,7.47
nc74019361,"9 km WNW of The Geysers, CA",0.62,2024-03-18 13:42:18.010,38.7961655,-122.8626633,7.27
ak0243l7vyru,"71 km SE of New Allakaket, Alaska",1.9,2024-03-18 13:38:54.184,66.0255,-151.6908,11.5
nc74019356,"3 km SW of Anderson Springs, CA",1.07,2024-03-18 13:34:07.570,38.7548332,-122.7171631,1.79
ak0243l7ugm3,"94 km NNW of Karluk, Alaska",1.2,2024-03-18 13:31:52.272,58.3987,-154.7754,4.0
ci40688880,"8 km SSW of Idyllwild, CA",0.95,2024-03-18 13:17:55.170,33.6668333,-116.7371667,14.47
us6000mjkm,"6 km WSW of Maneromango, Tanzania",4.4,2024-03-18 13:14:23.939,-7.22,38.7315,10.0
nc74019336,"4 km WNW of Mammoth Lakes, CA",0.78,2024-03-18 13:09:10.280,37.6469994,-119.0218353,-0.29
nc74019341,"24 km NE of King City, CA",1.18,2024-03-18 13:08:01.390,36.3403333,-120.9193333,7.42
hv74140472,"12 km SE of Waimea, Hawaii",1.82,2024-03-18 13:06:27.750,19.9425,-155.591,11.7
ak0243l7od4l,"22 km SSW of Susitna, Alaska",2.2,2024-03-18 13:03:07.783,61.3582,-150.6596,45.6
uw61990231,"23 km ENE of Ashford, Washington",-0.35000000000000003,2024-03-18 12:58:35.460,46.85883333333334,-121.75833333333334,2.22
nn00874982,"47 km ENE of Fort Bidwell, California",1.9,2024-03-18 12:55:19.137,41.9507,-119.5958,13.6
mb90043318,"5 km N of Smiths Ferry, Idaho",1.5,2024-03-18 12:51:20.420,44.35,-116.100833333333,3.67
nc74019331,"16 km NNE of Shingletown, CA",1.69,2024-03-18 12:44:50.950,40.6171667,-121.8068333,13.07
ak0243l7bkok,"33 km N of Petersville, Alaska",1.5,2024-03-18 12:43:40.368,62.793,-150.752,97.6
nc74019326,"7 km NW of The Geysers, CA",1.08,2024-03-18 12:35:18.370,38.8236656,-122.8059998,1.61
nc74019316,"8 km NW of The Geysers, CA",1.08,2024-03-18 12:02:43.660,38.8171654,-122.8290024,8.62
ak0243l6tcp4,"53 km WSW of Cantwell, Alaska",1.4,2024-03-18 11:58:38.801,63.1442,-149.866,75.6
ci40688856,"13 km NE of Ridgecrest, CA",0.67,2024-03-18 11:32:37.840,35.7021667,-117.5748333,4.96
nc74019311,"10 km NW of The Geysers, CA",0.38,2024-03-18 11:25:18.330,38.838501,-122.8359985,1.9
ci40688848,"37 km N of Yucca Valley, CA",1.67,2024-03-18 11:25:11.200,34.4446667,-116.4835,1.7
ci40688840,"38 km N of Yucca Valley, CA",1.2,2024-03-18 11:15:08.570,34.4586667,-116.4571667,3.92
nc74019306,"4 km NNW of The Geysers, CA",1.29,2024-03-18 11:09:09.640,38.8083344,-122.7721634,0.72
us6000mjkb,"Volcano Islands, Japan region",5.3,2024-03-18 11:04:37.888,24.288,142.8454,10.0
nc74019301,"26 km NNW of San Simeon, CA",1.44,2024-03-18 10:55:31.370,35.8608333,-121.3003333,5.14
nc74019296,"4 km WSW of Pacifica, CA",1.58,2024-03-18 10:52:55.680,37.6068344,-122.5286636,2.65
nn00874960,"57 km SW of Rachel, Nevada",0.7,2024-03-18 10:49:11.023,37.2547,-116.1637,6.0
nn00874964,"57 km SW of Rachel, Nevada",0.2,2024-03-18 10:44:37.818,37.2583,-116.1685,5.6
nc74019291,"2 km WSW of Danville, CA",0.51,2024-03-18 10:44:29.520,37.8143333,-122.0218333,8.67
nn00874963,"57 km SW of Rachel, Nevada",0.2,2024-03-18 10:38:05.073,37.2572,-116.174,5.2
